@relation alpha2
@attribute a1 {a,b,c,d,e,f}
@attribute a2 {a,b,c,d,e,f}
@attribute a3 {a,b,c,d,e,f}
@attribute a4 {a,b,c,d,e,f}
@attribute a5 {a,b,c,d,e,f}
@attribute a6 {a,b,c,d,e,f}
@attribute a7 {a,b,c,d,e,f}
@attribute a8 {a,b,c,d,e,f}
@attribute a9 {a,b,c,d,e,f}
@attribute a10 {a,b,c,d,e,f}
@attribute class {yes,no}
@data
d,c,a,b,d,c,e,f,e,e,no
d,a,a,f,b,f,e,f,c,c,no
f,a,f,d,f,f,a,d,a,d,no
b,c,c,d,f,b,d,d,f,c,no
a,a,d,a,e,a,b,f,d,a,no
f,c,e,e,a,c,c,e,c,d,no
a,a,c,f,f,c,b,a,f,b,no
e,b,d,d,a,a,b,e,e,c,no
b,e,c,f,b,e,d,b,d,c,no
a,d,a,d,c,b,c,d,d,f,no
f,f,e,b,a,f,d,d,e,a,no
c,f,f,c,a,c,c,a,f,f,no
b,e,e,d,b,b,c,e,e,f,no
f,a,a,e,d,e,d,a,b,c,no
e,e,c,e,d,a,f,e,d,a,no
b,f,d,f,a,b,a,b,d,a,no
d,a,e,f,e,c,e,a,b,d,no
a,b,a,f,c,f,d,a,e,b,no
f,c,c,d,d,c,c,a,f,b,no
c,c,a,f,b,b,d,a,a,a,no
d,a,a,a,b,f,f,b,d,d,yes
b,d,b,e,d,f,c,e,a,b,no
c,e,c,f,e,f,a,b,d,d,no
a,f,e,f,a,b,a,a,e,f,no
b,c,a,c,d,f,f,b,b,a,yes
a,e,f,c,d,d,e,f,f,b,yes
b,d,f,a,c,f,b,f,a,b,yes
c,c,b,e,e,b,f,b,e,f,no
e,d,d,b,d,b,e,e,b,d,no
b,b,b,f,e,f,d,e,b,f,no
a,c,a,a,f,a,b,b,d,b,no
f,b,a,e,b,d,d,f,a,a,no
d,a,c,a,d,b,f,c,b,f,no
f,d,b,a,e,d,b,b,a,e,no
f,d,b,e,a,a,e,a,c,c,no
b,f,e,f,c,c,a,e,d,e,no
a,b,d,d,a,d,b,e,c,c,yes
b,a,e,e,e,e,f,a,a,c,no
e,c,d,f,d,d,d,d,e,c,no
f,e,f,d,c,c,c,d,c,e,no
a,b,e,b,a,e,b,e,c,b,yes
b,e,a,d,d,b,c,a,f,c,no
b,a,e,b,b,d,c,f,d,c,no
c,d,f,b,b,e,c,b,d,d,yes
d,b,e,d,d,d,f,b,f,e,no
a,a,a,c,d,f,a,f,e,a,yes
b,c,a,f,c,a,d,e,e,d,no
d,d,a,d,d,f,f,a,a,c,no
a,a,b,b,f,a,c,e,f,c,no
b,d,b,d,a,a,a,f,e,f,no
e,e,a,f,e,b,c,a,a,c,no
d,b,e,d,e,d,e,e,e,f,no
c,d,f,a,d,c,f,c,f,c,yes
f,e,f,a,f,d,c,e,d,f,no
a,b,e,a,e,e,d,e,a,a,yes
e,f,c,c,e,c,f,d,c,f,no
c,c,c,f,f,d,b,d,d,c,no
a,a,d,d,c,c,b,a,e,f,no
f,e,f,e,a,b,b,a,c,b,no
e,c,e,d,b,a,a,b,a,b,no
b,a,a,a,a,c,f,f,f,d,no
f,d,b,e,e,e,b,f,c,c,no
b,a,e,e,e,e,b,c,a,a,no
d,b,d,a,f,c,b,d,d,b,no
d,f,d,a,b,c,a,e,a,f,yes
f,a,f,c,e,b,a,f,c,f,no
d,e,f,f,c,a,a,a,f,c,yes
b,a,c,f,e,c,b,c,d,d,no
b,e,e,f,e,a,d,f,d,f,no
a,a,a,f,b,e,e,d,c,c,no
a,c,a,a,e,a,e,c,b,f,no
e,b,a,e,b,e,f,c,e,e,no
a,b,f,d,c,c,e,b,e,b,yes
c,a,e,e,c,f,c,f,f,f,no
c,f,e,f,e,e,a,f,f,b,no
a,a,f,a,d,a,d,a,c,b,no
f,e,c,d,e,c,e,a,b,e,no
d,d,e,b,a,e,f,c,d,c,no
a,c,c,b,d,d,c,a,b,d,no
c,c,e,e,d,d,c,f,d,a,no
b,a,a,e,b,b,d,c,b,f,no
d,f,d,f,e,c,b,d,a,a,no
a,c,f,c,f,d,d,c,e,a,yes
a,e,f,c,a,f,f,a,d,f,yes
c,d,e,f,d,e,d,d,f,b,yes
c,c,a,d,a,b,c,a,b,c,no
c,d,a,e,e,d,a,c,a,e,no
d,c,d,b,c,b,f,b,d,b,no
c,b,a,a,e,c,c,c,a,f,no
a,b,b,c,e,e,e,b,b,b,no
d,c,e,a,f,b,c,d,f,e,no
c,f,f,d,e,b,b,d,d,c,no
b,c,e,b,f,d,a,d,a,e,yes
c,d,f,f,f,f,d,f,e,f,yes
d,f,a,b,e,a,b,d,a,b,no
c,c,b,c,e,d,e,a,d,b,no
f,b,b,e,e,d,d,a,d,e,no
d,d,e,c,d,a,a,e,a,d,no
d,c,e,b,c,c,d,d,d,f,no
e,b,e,e,b,d,e,c,a,e,no
c,b,f,c,c,b,e,b,c,b,no
b,f,d,d,a,d,d,f,d,b,no
e,c,a,e,b,b,c,f,d,a,no
b,b,f,d,d,b,b,e,d,c,no
d,a,f,f,d,c,d,c,b,d,no
a,c,b,c,c,e,a,a,a,e,no
d,d,f,f,c,f,a,a,b,d,no
b,f,b,f,c,c,d,f,f,c,no
f,b,d,e,c,e,a,a,d,f,no
b,e,d,d,f,b,c,b,a,c,no
e,c,f,b,b,f,b,a,f,d,no
f,a,b,c,f,f,c,a,f,a,no
f,d,d,f,c,e,c,c,a,f,no
e,f,a,a,c,c,e,f,e,a,no
e,a,e,b,c,b,a,d,c,b,no
a,f,a,e,a,e,b,e,a,e,no
a,e,b,b,d,d,a,d,c,c,no
a,d,e,d,b,c,f,c,d,e,yes
e,e,c,b,c,e,d,e,e,d,yes
c,e,f,b,d,d,e,c,a,b,yes
e,f,a,f,d,c,b,b,c,f,no
c,c,c,f,a,b,e,a,e,f,no
f,a,a,b,c,d,c,b,a,d,yes
e,e,f,f,c,e,b,f,c,a,no
c,f,c,b,a,d,f,c,f,f,no
d,d,e,c,c,b,d,c,f,c,no
c,b,a,f,d,f,a,c,c,a,no
b,b,c,d,b,a,e,a,b,c,no
c,e,b,f,e,d,e,e,d,d,no
a,c,d,c,c,e,d,e,b,e,yes
f,a,c,a,b,a,a,e,e,a,no
f,e,a,f,b,f,e,c,e,b,no
d,a,c,d,f,a,b,e,c,d,no
c,b,d,b,b,d,b,b,e,c,no
f,d,a,e,b,d,f,d,f,f,no
b,f,f,c,d,a,a,d,d,e,no
c,b,f,f,b,c,c,b,e,c,no
d,b,e,f,e,a,b,f,e,a,no
f,e,f,c,a,d,f,c,e,d,no
a,c,a,d,d,a,f,c,b,a,no
a,b,b,c,d,a,f,f,f,a,no
a,d,c,c,d,a,d,a,a,b,no
f,a,d,c,b,a,a,c,d,d,no
f,b,c,b,f,f,a,e,a,a,no
c,f,f,a,e,b,e,a,b,e,no
f,b,d,e,b,f,d,d,f,a,no
d,c,e,d,c,b,f,f,d,f,no
d,c,d,b,c,f,c,c,c,b,yes
a,a,a,f,a,b,c,a,b,e,no
c,d,a,e,d,e,c,a,e,a,no
b,f,f,d,d,a,f,b,c,b,no
a,e,b,d,c,b,f,d,a,b,no
e,c,e,f,b,f,f,f,b,a,no
a,e,a,c,f,d,a,c,d,b,no
c,c,c,b,d,a,c,e,e,e,no
f,d,b,d,c,f,f,f,f,c,no
e,e,b,c,c,e,b,b,b,d,no
b,d,b,b,c,e,a,e,d,e,yes
f,c,c,d,e,a,c,d,e,c,no
c,f,e,a,b,a,e,f,a,a,no
d,f,d,b,d,c,f,a,b,c,no
f,b,d,d,c,b,a,d,c,b,no
c,a,c,c,f,c,b,d,c,b,no
a,f,c,d,f,a,e,f,e,c,no
d,f,f,e,f,c,d,f,c,d,no
f,e,f,d,c,f,a,d,c,c,no
c,b,d,e,b,a,e,e,e,b,no
f,b,a,e,d,c,a,f,d,c,no
c,f,d,c,e,b,f,c,a,d,no
a,c,c,f,c,d,b,f,a,d,no
c,c,b,d,f,c,d,d,a,f,no
b,f,f,e,a,a,b,d,b,c,no
f,e,f,e,f,a,a,b,e,a,no
f,c,a,b,f,c,f,b,b,f,no
e,c,d,a,b,d,c,e,a,a,yes
f,a,a,d,b,f,d,c,f,f,no
d,c,d,b,a,e,c,b,c,c,no
d,d,f,b,d,a,b,d,d,e,no
a,c,b,f,e,f,a,c,a,c,no
c,d,d,f,c,e,d,b,f,a,no
f,d,a,f,d,a,b,e,c,f,no
d,b,b,c,e,f,a,b,f,a,yes
d,c,a,d,c,c,e,b,d,f,no
b,c,b,d,e,e,d,f,e,e,no
d,e,a,e,b,e,c,e,e,e,no
a,e,e,a,c,c,f,f,c,c,no
d,e,a,e,d,a,e,c,e,e,no
a,c,f,d,d,f,d,a,d,c,yes
b,c,b,f,e,a,d,d,b,b,no
e,f,b,f,b,a,b,b,b,d,no
d,c,c,d,e,f,a,c,f,f,yes
a,a,b,d,e,f,b,e,a,c,yes
c,e,e,b,d,d,b,f,e,b,no
c,c,e,a,f,e,f,b,b,e,no
d,d,b,d,f,a,f,c,d,e,no
f,a,b,e,f,e,e,a,b,b,no
c,d,d,f,f,c,e,f,b,d,no
a,f,c,b,d,e,e,f,b,f,yes
a,c,f,a,d,a,e,e,b,d,yes
e,d,e,e,a,f,d,c,f,c,no
c,f,f,c,a,d,e,a,a,c,no
e,a,e,e,d,e,a,d,f,a,no
e,d,c,f,f,d,a,b,c,d,no
d,a,e,a,b,d,d,d,a,b,yes
d,e,e,b,c,c,e,e,f,a,no
d,a,b,c,c,a,b,f,e,c,no
a,a,a,c,c,c,c,e,b,f,no
e,f,b,b,f,f,d,c,f,d,no
f,c,e,c,c,e,c,d,e,f,no
d,d,d,f,c,b,e,a,e,a,no
e,f,c,e,c,e,d,a,d,c,no
c,a,d,a,c,e,d,d,c,e,yes
a,e,c,b,b,b,c,b,e,d,no
b,a,f,b,d,f,c,b,d,e,yes
b,b,e,f,c,f,b,e,e,b,no
a,e,b,b,d,c,e,f,b,c,no
e,d,e,e,f,b,b,d,b,c,no
d,a,e,d,e,d,a,b,c,e,no
f,b,c,d,d,d,d,a,c,b,no
d,b,e,d,d,e,e,f,f,b,no
f,e,f,b,f,d,b,b,f,e,no
f,e,b,c,b,f,a,e,a,b,no
c,c,f,b,e,f,b,b,a,c,yes
e,f,c,f,d,e,e,b,e,d,no
a,b,a,c,e,a,f,f,a,f,no
e,f,f,c,e,f,a,e,b,b,yes
d,a,e,b,c,b,d,a,b,a,no
c,f,e,c,d,a,d,c,d,a,no
b,c,c,e,c,a,b,d,e,f,no
e,a,a,c,a,b,b,b,f,d,no
c,c,d,e,e,e,c,c,a,d,no
c,f,c,c,c,a,e,a,f,b,no
a,b,b,b,b,a,b,f,b,e,no
c,d,a,d,c,d,d,b,c,a,no
f,f,e,e,b,d,c,e,d,d,no
f,c,a,d,a,d,e,d,c,d,no
b,e,a,a,c,f,a,a,f,a,yes
a,f,f,f,c,d,a,c,a,e,no
b,f,b,d,c,f,e,a,e,d,no
a,e,d,f,d,e,b,a,b,c,no
c,b,a,b,e,f,d,b,c,d,yes
a,e,c,e,e,c,a,f,f,a,no
d,b,c,e,d,a,d,e,b,e,no
f,f,b,d,e,a,c,b,c,f,no
a,b,e,d,e,e,d,d,c,e,yes
b,e,f,c,f,c,e,f,c,c,yes
d,f,f,f,b,f,a,b,b,f,no
e,c,c,c,c,d,b,f,d,d,no
c,c,e,e,a,a,f,b,b,c,no
b,c,a,d,b,e,f,e,b,d,no
f,c,e,a,d,d,f,e,f,d,no
b,d,f,d,d,c,d,c,b,b,yes
e,e,a,b,a,c,e,e,e,f,no
d,c,b,e,b,d,a,f,f,e,no
f,e,b,b,b,a,c,d,a,b,no
a,f,c,d,b,a,d,a,d,b,no
c,d,d,e,c,e,f,e,e,b,no
e,f,b,c,c,e,e,f,d,a,no
d,f,c,b,c,a,c,d,d,f,no
e,f,e,b,b,a,f,e,b,e,no
c,c,e,f,b,a,f,d,f,f,no
a,b,f,a,e,f,d,f,d,a,yes
a,d,c,e,b,c,b,a,e,b,no
c,b,c,e,d,f,c,e,f,c,no
d,e,b,e,a,d,c,f,c,f,no
b,a,d,c,f,e,b,f,c,c,no
d,f,c,b,c,b,c,b,f,b,no
b,d,a,a,b,e,a,b,c,f,yes
b,e,c,d,a,b,f,e,d,b,no
d,f,c,d,a,d,d,a,f,d,no
d,d,d,d,f,c,b,d,e,c,no
d,f,c,d,e,d,e,c,f,c,no
c,d,a,c,f,d,e,c,c,b,no
c,c,e,b,a,f,f,a,f,e,no
c,c,a,a,c,b,d,f,d,c,no
e,f,a,d,e,b,a,f,c,c,no
c,a,b,c,d,d,b,f,d,c,no
c,c,c,b,b,f,a,d,b,e,no
d,d,a,e,e,c,f,e,b,f,no
b,c,a,c,c,f,f,e,b,a,no
e,d,f,c,f,e,e,d,f,c,no
b,a,b,e,c,b,b,a,c,c,no
f,b,a,b,c,d,c,e,e,f,yes
d,e,e,a,a,d,f,d,b,c,no
c,d,f,d,b,f,d,e,b,e,yes
b,d,a,a,f,d,a,c,b,e,no
b,e,a,c,d,b,e,c,e,d,no
d,c,b,b,f,e,d,e,a,c,no
b,e,d,c,c,c,e,f,f,b,no
b,a,f,a,e,b,e,c,e,a,no
f,e,d,f,b,f,f,f,d,b,no
c,a,e,b,f,b,a,c,b,f,no
f,d,c,f,d,a,e,d,b,e,no
c,a,c,b,d,a,b,e,f,b,no
d,a,c,b,e,b,f,c,e,b,no
d,d,a,e,a,b,b,e,d,b,no
a,f,e,f,b,e,b,c,f,a,no
f,f,a,b,a,b,a,e,d,e,no
a,b,d,d,c,d,e,c,b,e,yes
d,d,b,b,a,d,b,f,f,c,no
b,e,f,c,d,a,d,c,b,b,yes
a,a,f,a,b,d,c,b,a,e,yes
c,a,e,b,d,b,e,b,c,e,no
e,b,a,c,c,b,c,b,c,d,no
f,b,f,e,b,e,f,b,b,f,no
e,b,e,a,f,c,f,d,f,b,no
e,b,d,d,e,b,c,f,f,a,no
a,b,d,f,c,c,a,b,a,a,yes
e,a,e,e,b,f,c,b,a,c,no
d,d,d,c,c,a,d,d,f,d,no
a,d,a,e,e,e,c,d,f,b,no
a,c,f,d,a,f,b,a,c,e,yes
e,e,a,e,c,f,f,e,f,b,no
e,a,f,e,c,c,f,e,b,f,no
a,c,d,c,b,d,c,c,a,f,yes
a,e,e,a,c,f,b,c,f,e,yes
c,b,f,b,d,a,b,b,a,f,no
e,d,d,e,f,f,f,a,e,c,no
a,d,f,a,d,e,d,e,e,d,yes
e,f,e,e,f,c,f,b,b,b,no
a,e,f,d,b,f,d,b,b,e,yes
d,c,f,c,a,e,b,f,a,d,no
a,e,a,a,f,c,a,e,e,e,no
a,a,c,e,f,d,a,d,b,b,no
e,c,b,e,e,d,b,b,f,c,no
f,b,d,d,b,f,f,c,c,d,no
a,b,c,d,e,e,d,e,e,a,yes
e,e,f,a,c,a,e,c,b,b,no
e,a,e,c,d,a,e,e,a,b,no
d,d,f,f,d,e,d,e,c,e,no
f,b,b,e,c,c,b,a,d,a,no
b,e,c,a,b,c,f,c,d,d,yes
f,e,c,f,f,a,e,e,a,f,no
b,e,c,c,b,b,a,f,c,f,no
d,b,b,e,a,f,e,a,b,f,no
d,e,b,c,f,a,f,e,d,e,no
f,f,e,f,a,a,c,e,e,d,no
b,a,f,b,e,f,b,e,c,f,yes
f,a,b,b,a,e,d,c,e,f,no
a,a,f,b,e,d,c,b,b,c,no
f,b,c,b,c,e,e,f,d,a,yes
d,d,e,e,a,f,b,b,e,d,no
f,d,b,d,d,d,f,a,e,e,no
c,f,d,e,f,d,a,e,d,b,no
b,e,b,e,c,f,f,e,c,d,no
e,c,e,b,f,e,f,c,f,c,no
b,f,d,b,b,b,a,c,d,b,no
e,e,a,d,e,d,b,a,a,b,no
c,d,c,f,d,c,c,d,a,b,no
e,a,e,e,e,f,a,e,f,c,no
d,d,e,d,e,c,e,e,d,c,no
e,f,c,b,a,c,c,f,b,c,no
f,b,a,e,d,d,d,a,e,d,no
d,e,a,e,d,e,e,d,c,d,no
b,f,a,a,d,c,c,a,d,d,no
b,a,d,f,a,f,a,c,d,d,no
c,d,a,e,d,e,d,b,f,b,no
c,a,a,d,b,b,f,d,a,a,no
d,a,d,e,a,a,c,c,f,f,no
a,a,e,b,a,f,a,d,e,a,no
f,c,b,b,f,e,c,c,a,a,no
e,a,b,a,a,e,b,f,e,a,no
e,e,f,d,b,a,d,f,d,f,no
d,a,f,f,c,d,a,c,b,b,no
e,c,e,a,d,b,c,e,b,d,no
a,e,c,f,d,f,a,b,b,a,no
f,e,d,c,a,c,c,f,a,b,no
d,c,e,b,e,b,b,b,e,b,no
c,b,c,b,d,a,b,f,c,c,no
d,b,c,e,a,b,b,c,e,a,no
c,b,f,b,a,b,d,b,f,e,no
e,e,b,a,d,b,c,f,a,a,no
c,f,b,e,a,e,a,e,d,e,no
a,f,e,a,a,c,e,b,b,a,no
d,f,e,c,d,b,f,e,d,a,no
a,e,a,d,b,e,c,c,c,d,no
e,d,b,a,c,a,b,e,b,a,no
c,f,e,c,c,d,a,e,a,f,no
e,b,a,b,c,b,f,e,c,d,no
e,e,c,a,d,d,a,c,f,a,no
d,b,f,f,a,a,d,d,d,e,no
a,b,e,a,f,a,d,a,f,e,yes
e,a,f,b,a,c,e,d,a,e,no
c,b,a,f,b,a,d,c,f,f,no
b,d,b,c,f,a,e,f,b,c,no
c,c,d,d,a,d,b,e,d,c,no
d,b,b,b,c,d,a,c,c,c,yes
a,a,e,e,d,e,b,d,a,d,no
c,a,c,c,d,b,f,f,c,d,no
a,c,e,b,d,e,e,a,f,e,yes
d,c,c,a,f,f,f,b,a,c,no
f,b,e,b,b,f,c,f,b,a,no
a,c,e,e,d,b,d,e,f,f,yes
e,a,d,e,b,b,b,f,b,a,no
f,e,e,d,c,c,f,c,b,b,no
f,e,d,e,a,e,a,f,e,a,no
e,b,b,d,e,f,c,b,c,f,yes
d,a,e,b,a,e,d,f,a,f,no
c,f,a,b,b,e,e,c,b,f,no
e,f,f,d,f,b,a,a,d,e,no
d,e,f,f,b,a,a,a,e,a,yes
b,a,d,b,d,d,d,a,e,b,no
e,f,e,c,d,c,c,c,b,e,no
b,a,f,c,b,f,b,c,d,a,no
b,e,e,c,c,b,b,e,b,b,no
d,c,c,b,f,c,d,a,d,b,no
f,e,b,a,a,b,e,d,c,d,no
d,c,f,e,b,f,a,e,e,a,no
b,d,d,c,b,e,e,d,f,e,no
d,f,b,c,a,b,d,c,c,e,no
e,b,f,b,f,b,c,b,e,d,no
d,a,f,d,c,e,d,c,e,d,no
a,c,d,a,d,e,d,e,b,a,yes
d,e,c,a,e,e,f,e,f,b,no
d,a,d,c,c,f,e,b,b,f,no
f,e,b,e,e,a,a,c,a,b,no
b,d,f,f,a,c,d,f,a,e,yes
c,c,d,f,d,f,f,e,d,e,no
c,f,c,b,c,d,a,c,e,d,yes
e,c,d,f,e,b,c,b,f,f,no
d,c,e,e,f,e,e,e,f,a,no
f,e,b,b,b,b,e,d,c,e,no
d,a,b,f,d,d,e,f,b,f,no
e,a,a,e,f,f,a,c,e,d,no
c,b,f,a,e,b,e,b,e,e,no
